start_year,end_year,time_steps,source_chunks_estimate,source_megabytes_estimate,retained_megabytes,elapsed_seconds,estimated_source_MB_per_second
1959,1966,11688,585,479.232,3.74016,12.424798764011939,38.570604570923216
1967,1974,11688,585,479.232,3.74016,12.506516765002743,38.31858294397728
1975,1982,11688,585,479.232,3.74016,12.613644120996469,37.993144201862975
1983,1990,11688,585,479.232,3.74016,12.88979661600024,37.179174681866144
1991,1998,11688,585,479.232,3.74016,12.34061920401291,38.833707780575864
1999,2006,11688,585,479.232,3.74016,12.831881996011361,37.34697686192592
2007,2014,11688,585,479.232,3.74016,12.764019907990587,37.54553843182187
2015,2022,11688,585,479.232,3.74016,12.689992690997315,37.76456075817778
