capacity,rmse_z,latency_ms_per_query,queries_per_second,memory_megabytes
64,0.9253841143886699,0.0036913221677726447,270905.64154236455,0.034176
128,0.9234441237365386,0.0029569051669871746,338191.4344648773,0.068352
256,0.917380383825143,0.0029113718313359036,343480.6881198486,0.136704
512,0.9137560012662057,0.0026577954995445907,376251.67179767916,0.273408
1024,0.9114899584415356,0.0031138440002299226,321146.4671724599,0.546816
