model,rmse_z,mae_z,acc,skill_vs_climatology,skill_vs_persistence,crps_z
PMWM (full),0.9103806182277324,0.6498967409133911,0.5866870557074642,0.35229641909116227,0.5242390798330365,0.45917612314224243
PMWM (no event slots),0.9109599612887314,0.6414426565170288,0.5886189349146763,0.35147179263255446,0.5236333628749942,0.4560190439224243
PMWM (reservoir),0.916375030740288,0.6510176062583923,0.5812061763558068,0.3437387128001609,0.5179531454341368,0.4617816209793091
Neural backbone,0.9187243010371627,0.6537009477615356,0.5793154975875218,0.340369543330317,0.5154783726917627,0.46285536885261536
Analog memory,0.9575135553262015,0.7130174040794373,0.5318081897370975,0.2834934685280378,0.47370090768925566,
Ridge-AR,0.9594599521562729,0.6995959281921387,0.5206923511922467,0.28057753384564543,0.4715590517407442,
Seasonal climatology,1.131188168601006,0.8689925074577332,,0.0,0.2654650457553588,
Persistence,1.319862288964322,0.9020110368728638,0.37572054999723997,-0.3614055998578716,0.0,
