probe,domain,balanced_accuracy,macro_f1
zone,seen,0.9983630272574996,0.9979758787624999
zone,held-out,0.5095553525201767,0.3982643637999085
season,seen,0.48721651953406614,0.4782805258842585
season,held-out,0.42017135189689536,0.4226058866051038
