model,horizon,target,rmse_z,mae_z,bias_z,acc,skill_vs_climatology,skill_vs_persistence,rmse_physical,mae_physical,bias_physical,r2_physical,crps_z,nll_z,coverage_90,interval_width_90_z
Seasonal climatology,6 h,temperature_c,1.0802620977683508,0.862082839012146,-0.41483834385871887,,-7.355081901971872e-06,0.6556166285586794,2.3348514749802147,1.7358359098434448,-0.7947818636894226,0.9116529932836217,,,,
Seasonal climatology,6 h,pressure_hpa,1.0339718358540901,0.8109938502311707,-0.09447363764047623,,-1.7395016060239854e-05,-0.26042763857144613,6.833876921579498,4.575424671173096,-0.2673525810241699,0.29475670330498327,,,,
Seasonal climatology,6 h,wind_speed_ms,1.0431840081549852,0.8268744349479675,-0.0077603161334991455,,-1.1502243375538512e-05,-0.1888096060539861,1.9525774378934269,1.4232256412506104,-0.016825301572680473,0.4592708383562,,,,
Seasonal climatology,6 h,precipitation_mm,1.320909985665686,0.9458707571029663,0.014628132805228233,,-7.993794629124196e-06,-1.4261931597838742,1.435188259043985,0.6677147746086121,-0.23202671110630035,0.05267343191538709,,,,
Seasonal climatology,24 h,temperature_c,1.1480562784044122,0.919228196144104,-0.4921039342880249,,-5.245827622513133e-06,-1.0904541007085427,2.33410153912905,1.7854869365692139,-0.8750696182250977,0.9255961646844133,,,,
Seasonal climatology,24 h,pressure_hpa,1.0308132980936622,0.8089594841003418,-0.07152488827705383,,-1.7501782152651302e-05,-0.4798010050024337,6.837424503446603,4.579355716705322,-0.25365179777145386,0.30111914870563683,,,,
Seasonal climatology,24 h,wind_speed_ms,0.9886893835668951,0.7829903960227966,-0.02642517164349556,,-2.189093533555564e-05,0.2191685225877692,1.92130550227413,1.385114073753357,-0.03875291720032692,0.4762244600952118,,,,
Seasonal climatology,24 h,precipitation_mm,1.3330695169441147,0.9750283360481262,0.0134896757081151,,-5.366570291931438e-06,0.2605555206128263,1.4630000604458717,0.7023754119873047,-0.25706326961517334,0.08806258990635263,,,,
Seasonal climatology,72 h,temperature_c,1.1479780354973852,0.9191441535949707,-0.4919704496860504,,-4.97516848185775e-06,0.05063554422325156,2.333786193861217,1.7852510213851929,-0.8745903372764587,0.925624001852807,,,,
Seasonal climatology,72 h,pressure_hpa,1.0308019069135892,0.8089608550071716,-0.0715978741645813,,-1.7614364345774902e-05,0.3778926496743953,6.837039810678503,4.579197406768799,-0.2538144886493683,0.3011032506300305,,,,
Seasonal climatology,72 h,wind_speed_ms,0.988633134641327,0.782948911190033,-0.026337359100580215,,-2.2015398093877536e-05,0.4531079179341789,1.9212342721646518,1.3850390911102295,-0.038574256002902985,0.4761959250125438,,,,
Seasonal climatology,72 h,precipitation_mm,1.3331201303413682,0.9750000834465027,0.013401047326624393,,-5.567395027217259e-06,0.4452423456544161,1.4629923195627548,0.7023636102676392,-0.257086843252182,0.08806075325774798,,,,
Seasonal climatology,168 h,temperature_c,1.1478863386150606,0.919054388999939,-0.4918728470802307,,-5.156908438719299e-06,0.23254317590406348,2.3338546397651294,1.785139799118042,-0.8743245005607605,0.9256157720795465,,,,
Seasonal climatology,168 h,pressure_hpa,1.030876207521429,0.8090243935585022,-0.07202441990375519,,-1.8509259734011962e-05,0.4614884811639832,6.8352388035790765,4.5788445472717285,-0.2557227313518524,0.30102866242837933,,,,
Seasonal climatology,168 h,wind_speed_ms,0.9885088692394074,0.7828264832496643,-0.02626790665090084,,-2.0983915036021372e-05,0.4726387989876273,1.920850092827866,1.3847001791000366,-0.03829608112573624,0.47624345827932946,,,,
Seasonal climatology,168 h,precipitation_mm,1.332886765122687,0.9748932123184204,0.013785329647362232,,-5.3680420193380485e-06,0.4723276659395742,1.4626732780639793,0.702186644077301,-0.25679507851600647,0.0881219212736245,,,,
Persistence,6 h,temperature_c,1.8408212191227873,1.2570385932922363,-0.28224799036979675,0.45077329309013175,-1.9038096259634392,-1.639381056950384e-05,3.3609110314653945,2.2702748775482178,-0.4110938608646393,0.816942573151265,,,,
Persistence,6 h,pressure_hpa,0.9209908917356701,0.5861039757728577,-0.2610662579536438,0.7284337305883354,0.20658427004379754,-2.5719450685857126e-05,2.482787578786585,1.946959137916565,-0.03034166991710663,0.9069141242145043,,,,
Persistence,6 h,wind_speed_ms,0.9567748991510052,0.6354658007621765,-0.13814608752727509,0.6213806034181696,0.15879334456098348,-2.3050153944437213e-05,1.1710953725812485,0.8553188443183899,-0.07321194559335709,0.8054873779489905,,,,
Persistence,6 h,precipitation_mm,0.8480493012213034,0.4976096749305725,0.051294513046741486,0.8005262982385007,0.5878083153638068,-4.865160058376006e-05,1.0209315246276391,0.44008582830429077,0.05462941899895668,0.520625199774772,,,,
Persistence,24 h,temperature_c,0.7940475566948688,0.5750300288200378,0.00015541483298875391,0.7071781212554732,0.5216244772487552,-1.682729803698102e-05,1.73335854927697,1.170097827911377,0.00044543217518366873,0.9589670589287048,,,,
Persistence,24 h,pressure_hpa,0.8473851346069532,0.6366294026374817,-4.806915967492387e-06,0.6604609696596778,0.32421389511361465,-1.1455194914189448e-05,5.3619038924099,3.5480661392211914,1.135289221565472e-05,0.57021020036326,,,,
Persistence,24 h,wind_speed_ms,1.1188817548687502,0.8519701361656189,-3.999897307949141e-05,0.3590089673056946,-0.2807316718906121,-1.3712295472645408e-05,2.2714696803318755,1.5649904012680054,-0.00010038373147835955,0.26790700959790137,,,,
Persistence,24 h,precipitation_mm,1.5502802810750502,0.9433388710021973,-2.2644368073088117e-05,0.32373872121558334,-0.3524374291445016,-4.7023874834684065e-05,1.8383708654787634,0.8341920971870422,2.48075866693398e-06,-0.4399340489509076,,,,
Persistence,72 h,temperature_c,1.1782042924419767,0.8906755447387695,0.00026825457462109625,0.35914151569279507,-0.05335850105229345,-1.614484051692955e-05,2.5725766676737876,1.8151824474334717,0.0008616708219051361,0.9096252045521294,,,,
Persistence,72 h,pressure_hpa,1.3069069538196196,1.012181043624878,-8.198150317184627e-05,0.19303033629632332,-0.607483636592103,-9.77131561907818e-06,8.219871763542423,5.6241774559021,-0.00015826821618247777,-0.010198891502205099,,,,
Persistence,72 h,wind_speed_ms,1.3368614972232065,1.0378574132919312,5.728801625082269e-05,0.08462913841066341,-0.8285720105376306,-9.538442123036006e-06,2.6622499805242312,1.8746538162231445,8.851241000229493e-05,-0.005786697369538407,,,,
Persistence,72 h,precipitation_mm,1.7898861517477198,1.1514253616333008,-0.00011272436677245423,0.0989610731589527,-0.8026634820272751,-3.579726956881579e-05,1.9705126909506963,0.9628145694732666,-2.1805648430017754e-05,-0.6543991063928647,,,,
Persistence,168 h,temperature_c,1.310310626730295,1.0060975551605225,0.0003353312786202878,0.23088849403681036,-0.30302573007800326,-1.083155665715374e-05,2.853354698202178,2.049766778945923,0.0010259171249344945,0.888815364490811,,,,
Persistence,168 h,pressure_hpa,1.40478821118672,1.096817135810852,-0.0005170298973098397,0.07280016650327618,-0.8570205678259484,-8.457073405576665e-06,9.213413361985264,6.196937084197998,-0.002073199488222599,-0.2699689285095477,,,,
Persistence,168 h,wind_speed_ms,1.3612231264710692,1.0597987174987793,0.00014415444456972182,0.05153312374429641,-0.8962981018889855,-1.3060300565692629e-05,2.702081203141227,1.9060015678405762,0.0003840569988824427,-0.03642840530252678,,,,
Persistence,168 h,precipitation_mm,1.8349267652901768,1.1941378116607666,0.00026618174160830677,0.05513210435964563,-0.8951923345970376,-3.51944593015574e-05,1.9865752509972423,0.9845863580703735,0.00026734586572274566,-0.6821013617784599,,,,
Ridge-AR,6 h,temperature_c,0.4839968127853104,0.36451563239097595,0.030126381665468216,0.8753020518265998,0.7992618485772514,0.9308696270956901,0.9769895611618228,0.7099550366401672,0.005053400062024593,0.9845313231125499,,,,
Ridge-AR,6 h,pressure_hpa,0.2964831074522965,0.2129882574081421,-0.037401653826236725,0.9583400408847366,0.9177776199960616,0.8963664424413099,1.4403737409685984,0.9919106960296631,-0.061588089913129807,0.9686703854540779,,,,
Ridge-AR,6 h,wind_speed_ms,0.9963728868899744,0.7929304838180542,-0.013049324974417686,0.2963775761029891,0.08772251637536044,-0.08451176160150387,1.856994708146632,1.3600090742111206,-0.02394239790737629,0.5109147215816435,,,,
Ridge-AR,6 h,precipitation_mm,0.7326250531987859,0.4794307351112366,0.030530095100402832,0.8324601923856177,0.6923757578134389,0.2536501339908178,0.8819836464293526,0.3771563172340393,-0.04654473811388016,0.642230728279445,,,,
Ridge-AR,24 h,temperature_c,0.6824335989247979,0.5143957734107971,-0.08584065735340118,0.7576181575396438,0.6466568114448764,0.2613561573257831,1.4532849623711959,1.0307923555374146,-0.1573457568883896,0.9711558734433693,,,,
Ridge-AR,24 h,pressure_hpa,0.7037604321711073,0.5332512855529785,-0.04712522402405739,0.7305820928134485,0.533880505236062,0.31024797508677726,4.489199073910101,2.9479241371154785,-0.13914723694324493,0.6987300727375375,,,,
Ridge-AR,24 h,wind_speed_ms,0.967257580660143,0.7707573771476746,-0.02630718983709812,0.20736288902863897,0.04286312214007737,0.25265375768317055,1.8848730185158242,1.3617886304855347,-0.04072875529527664,0.49590016472141674,,,,
Ridge-AR,24 h,precipitation_mm,1.2354745434246133,0.8809622526168823,0.044146642088890076,0.37692255446801287,0.14105701310113972,0.3648627587379586,1.4021846500348212,0.6546465158462524,-0.20565587282180786,0.16230338437452607,,,,
Ridge-AR,72 h,temperature_c,0.9540738869970556,0.7477315068244934,-0.2226618081331253,0.44784824218413294,0.3092847860614233,0.34426278922558606,2.028463712131204,1.4929025173187256,-0.39239516854286194,0.9438117947464002,,,,
Ridge-AR,72 h,pressure_hpa,0.999286188231451,0.7819333672523499,-0.07064390927553177,0.2459538699083513,0.06019664137827352,0.4153517209485351,6.553262075901529,4.417010307312012,-0.26477494835853577,0.3579159584419981,,,,
Ridge-AR,72 h,wind_speed_ms,0.9843761807389217,0.7808374166488647,-0.007958710193634033,0.09009340429136849,0.008571429965359645,0.4578075016979094,1.921334601620042,1.3848658800125122,-0.009508579038083553,0.4761412160678513,,,,
Ridge-AR,72 h,precipitation_mm,1.318725761082341,0.9634798169136047,0.0358179472386837,0.1489282270113351,0.021472973080840063,0.45715766405029057,1.4502964177192426,0.695911169052124,-0.23752015829086304,0.10381976213886279,,,,
Ridge-AR,168 h,temperature_c,1.029144102047391,0.8155641555786133,-0.30747348070144653,0.3239502917370105,0.19618363443345566,0.3831088261772617,2.1648204591586446,1.6169028282165527,-0.5437861680984497,0.9360004352510077,,,,
Ridge-AR,168 h,pressure_hpa,1.0243911376948118,0.8033833503723145,-0.07702307403087616,0.1157244653307006,0.012523813845307652,0.46824254161635215,6.80102833096897,4.556202411651611,-0.2988155782222748,0.3080078771056465,,,,
Ridge-AR,168 h,wind_speed_ms,0.9851213683472969,0.7813677787780762,-0.0010419500758871436,0.07971024211690288,0.006821175381060862,0.4762470126170867,1.921679354998256,1.3855384588241577,0.0007113592582754791,0.4757911322574889,,,,
Ridge-AR,168 h,precipitation_mm,1.326099781442021,0.9700053930282593,0.029868537560105324,0.10302744471824968,0.010152644971859082,0.477687739602923,1.45451108393375,0.6992359161376953,-0.24309557676315308,0.09827067976327253,,,,
Analog memory,6 h,temperature_c,0.5564627379892088,0.4342810809612274,-0.2168753445148468,0.8734924293362948,0.7346512209946727,0.9086189649933042,1.1483750099256038,0.8550107479095459,-0.42158809304237366,0.9786282154530422,,,,
Analog memory,6 h,pressure_hpa,0.41698941803845585,0.3086399435997009,-0.0666973739862442,0.9329045145825233,0.8373551920666238,0.7950015547618755,2.3561997425982932,1.568602204322815,-0.16944731771945953,0.9161643241923608,,,,
Analog memory,6 h,wind_speed_ms,0.825995063349032,0.6449747085571289,-0.0020139615517109632,0.6482160008341208,0.37304256465411,0.2546755511770392,1.4967136941217685,1.0856432914733887,-0.0006127905216999352,0.6822828026807889,,,,
Analog memory,6 h,precipitation_mm,0.6997497077060865,0.46569642424583435,0.028216341510415077,0.8527005281888773,0.7193645848798536,0.3191297181795947,0.8693144892264517,0.37285691499710083,-0.08128800988197327,0.6524351825098456,,,,
Analog memory,24 h,temperature_c,0.7894248130587674,0.6188113689422607,-0.31603437662124634,0.7310292592935734,0.5271782259081297,0.011592968458269737,1.6157889838163175,1.205895185470581,-0.5512493252754211,0.9643446159594499,,,,
Analog memory,24 h,pressure_hpa,0.7239147054210133,0.5561110973358154,-0.07428369671106339,0.7269290344348376,0.5068007886572297,0.27017608460773757,4.596678338943131,3.071507215499878,-0.3056710362434387,0.6841315263477544,,,,
Analog memory,24 h,wind_speed_ms,0.9111699692651338,0.719968855381012,0.006918933242559433,0.3960525965611188,0.15064634358573037,0.3368124474123946,1.801964426987203,1.2885462045669556,-0.00011831409210572019,0.5392718090113833,,,,
Analog memory,24 h,precipitation_mm,1.1590728324867732,0.8327497839927673,0.11327861994504929,0.5025119422630275,0.2440062788872417,0.44098761645105455,1.3351885832414454,0.632358729839325,-0.14544592797756195,0.24044091228289022,,,,
Analog memory,72 h,temperature_c,1.0155070309717225,0.8067454695701599,-0.3837796449661255,0.43285353858641507,0.21747022271206018,0.2570977399198443,2.1201739767051673,1.5900224447250366,-0.6888985633850098,0.9386162136349889,,,,
Analog memory,72 h,pressure_hpa,0.9951643853042954,0.7799026966094971,-0.11675440520048141,0.27858195886237436,0.06793355457872496,0.4201648267395681,6.444806147250262,4.372462272644043,-0.48664170503616333,0.3789929641222822,,,,
Analog memory,72 h,wind_speed_ms,0.9757535712147208,0.7732133269309998,0.018718039616942406,0.16131974923664272,0.025864128768978256,0.4672645335508365,1.9106823405407996,1.3769148588180542,0.017047222703695297,0.4819338681524583,,,,
Analog memory,72 h,precipitation_mm,1.3166660312860299,0.9964203834533691,0.17239642143249512,0.20563345935935057,0.02452732648525857,0.45885208054698223,1.4234149684023027,0.7130466103553772,-0.14939133822917938,0.13673353313395264,,,,
Analog memory,168 h,temperature_c,1.0776428028897689,0.8585859537124634,-0.42701423168182373,0.30623700424975075,0.11863838799022974,0.32359650451780064,2.2421751653351927,1.6907269954681396,-0.7702496647834778,0.9313449751039549,,,,
Analog memory,168 h,pressure_hpa,1.0276537525389677,0.8071162104606628,-0.11226005107164383,0.11593977314699844,0.006223710541202854,0.4648499262120346,6.809803840399998,4.574548721313477,-0.49069270491600037,0.3062209411025072,,,,
Analog memory,168 h,wind_speed_ms,0.9833077594427257,0.7797663807868958,0.019432511180639267,0.11377184469131013,0.010474694587961575,0.4781736964645895,1.9198950516310374,1.3849539756774902,0.021161086857318878,0.47676414932654354,,,,
Analog memory,168 h,precipitation_mm,1.3421443839025706,1.025294542312622,0.18398016691207886,0.1108819908609196,-0.013944764055429548,0.46497227179385026,1.4342291564597116,0.7251201272010803,-0.15182384848594666,0.12324305417379622,,,,
Neural backbone,6 h,temperature_c,0.35947953652593434,0.2678147554397583,0.008242232725024223,0.9335343665917665,0.8892628701164044,0.9618642543584845,0.7228860438197682,0.5206027030944824,-0.000597145757637918,0.9915313730636157,0.19045518338680267,0.2828353941440582,0.9072889701030404,1.1349806785583496
Neural backbone,6 h,pressure_hpa,0.2651039229706029,0.1865173876285553,-0.03191335126757622,0.9679132857804588,0.9342610981875062,0.9171423125370024,1.2566961701283241,0.8499380350112915,-0.0370807908475399,0.976151270690349,0.13304151594638824,-0.1337890923023224,0.8930891832901883,0.7384727597236633
Neural backbone,6 h,wind_speed_ms,0.7349795430119723,0.5655660033226013,-0.009907984174787998,0.720913817671692,0.5035978469553124,0.40987913970835044,1.2804001106079825,0.9293761849403381,-0.028698349371552467,0.7674830249369309,0.398618221282959,1.0323885679244995,0.8970103040454799,2.2788984775543213
Neural backbone,6 h,precipitation_mm,0.6701320174023601,0.41634249687194824,-0.035419344902038574,0.867188589452246,0.7426182430828225,0.37554713366235737,0.8437514481708673,0.34371525049209595,-0.11520086973905563,0.6725756046425053,0.2982814311981201,0.5789974927902222,0.9002715598192985,1.6279150247573853
Neural backbone,24 h,temperature_c,0.639840273445941,0.4797082543373108,-0.0714372843503952,0.7907944578652275,0.6893874012947787,0.35068202551509964,1.3666474501879273,0.9606357216835022,-0.10075723379850388,0.97449244547566,0.3422107398509979,0.8802453875541687,0.8980254809400539,1.99112868309021
Neural backbone,24 h,pressure_hpa,0.6657218620851785,0.503400444984436,-0.04583657905459404,0.7641232934547988,0.5829066993456353,0.382795716686799,4.206648586937632,2.763936758041382,-0.1683802455663681,0.7354605047431946,0.3587278723716736,0.940214216709137,0.8987487944774377,2.0740349292755127
Neural backbone,24 h,wind_speed_ms,0.913742237553847,0.7209509015083313,-0.01649041660130024,0.3904931425030924,0.14584405775743403,0.33306275355843595,1.7946735994895657,1.2822774648666382,-0.037462275475263596,0.5429925198100745,0.5066257119178772,1.2870359420776367,0.8993198314806355,2.899644613265991
Neural backbone,24 h,precipitation_mm,1.161040049730388,0.7767627239227295,-0.055951859802007675,0.4964830630500448,0.241437905427615,0.4390884570673015,1.3661225885451453,0.6043094992637634,-0.24295805394649506,0.20483786966043493,0.5564917922019958,1.3524895906448364,0.8995355565707325,2.8984057903289795
Neural backbone,72 h,temperature_c,0.9285144618135002,0.7228147983551025,-0.20510928332805634,0.4890907118958613,0.345797276176668,0.3789262770762072,1.9888809588728267,1.4514033794403076,-0.36574459075927734,0.9459832744155828,0.5102047324180603,1.2924036979675293,0.8925942845540835,2.9093823432922363
Neural backbone,72 h,pressure_hpa,0.9907155269330565,0.7750273942947388,-0.09939340502023697,0.2867022567483274,0.07624848819388819,0.4253375169453807,6.4211137232207,4.348902225494385,-0.3946416676044464,0.383550468999579,0.5485305190086365,1.377646803855896,0.8999035581950154,3.1755216121673584
Neural backbone,72 h,wind_speed_ms,0.9761925568818748,0.7729703783988953,-0.009567173197865486,0.1577976747664419,0.024987415852086747,0.466785076753776,1.9120766439159447,1.375772476196289,-0.022476691752672195,0.4811774840043158,0.5433467626571655,1.365767478942871,0.8994467285924572,3.0875601768493652
Neural backbone,72 h,precipitation_mm,1.3023514535146339,0.9323050379753113,-0.004961362108588219,0.21633461896774195,0.045622387474729575,0.4705546619468848,1.4456493912950954,0.6809384226799011,-0.25177428126335144,0.10955362612931319,0.6614093780517578,1.580753207206726,0.899649763971372,3.547456741333008
Neural backbone,168 h,temperature_c,1.0178595389909195,0.8030924797058105,-0.31083372235298157,0.3588113829836075,0.2137146803793386,0.39656307763962606,2.159694298021593,1.6032634973526,-0.567634642124176,0.9363031704298124,0.5661170482635498,1.4061816930770874,0.8850819755342368,3.1746346950531006
Neural backbone,168 h,pressure_hpa,1.0238271655762625,0.8028959631919861,-0.08759906888008118,0.12773099941556146,0.013610812189682409,0.468827891911353,6.784917305630061,4.547537326812744,-0.3201591670513153,0.3112825282162508,0.5683338046073914,1.4149880409240723,0.9015659103598802,3.3168017864227295
